patient_id,tile_id,tile_row,tile_col,tile_purity,n_spots,FMRP_signature_score,Cell_cycle_signature_score,YAP_signature_score,WNT_signature_score,EMT_signature_score,x_min_fullres,y_min_fullres,x_max_fullres,y_max_fullres,FMRP_signature_score_binary,Cell_cycle_signature_score_binary,YAP_signature_score_binary,WNT_signature_score_binary,EMT_signature_score_binary
CH_L_277a,3-9,3,9,0.8669167909544842,187,0.08233103271486891,0.20693717606382386,0.3400267135396648,0.09521080484864718,0.3859548346535309,21447,7149,23830,9532,1.0,1.0,0.0,1.0,0.0
CH_L_277a,4-6,4,6,0.49585029478141496,92,-0.004966298945734809,0.03700908075522925,0.4116085538988875,-0.03631051682580875,0.6167893860218712,14298,9532,16681,11915,0.0,0.0,1.0,0.0,1.0
CH_L_277a,4-7,4,7,0.6519172226666422,184,0.050034949574022505,0.1492511298620742,0.35088357497892986,0.04448933913716532,0.505798384350277,16681,9532,19064,11915,0.0,0.0,0.0,0.0,0.0
CH_L_277a,4-8,4,8,0.600173177889287,187,0.03806618707840902,0.1551285165540761,0.3712861699087941,0.04114243294641997,0.4603844612237834,19064,9532,21447,11915,0.0,0.0,0.0,0.0,0.0
CH_L_277a,4-9,4,9,0.6467751594229004,150,0.05946500613628738,0.19896335205396645,0.35424050574709637,0.0529240607021022,0.41438741141766033,21447,9532,23830,11915,0.0,1.0,0.0,0.0,0.0
CH_L_277a,5-6,5,6,0.42175304810365216,84,0.02448871449915811,0.07562029544572145,0.38125148806535686,-0.010682081444908283,0.6034823593394224,14298,11915,16681,14298,0.0,0.0,0.0,0.0,1.0
CH_L_277a,5-7,5,7,0.372263712159467,120,0.013252850349001968,0.0911950072882088,0.3895846082900714,-0.013512021878218565,0.5103936979597967,16681,11915,19064,14298,0.0,0.0,0.0,0.0,0.0
CH_L_277a,5-8,5,8,0.6091842807217639,90,0.006763961120385514,0.10117241752532057,0.3956843692821132,0.008194331404148152,0.4046053582335178,19064,11915,21447,14298,0.0,0.0,1.0,0.0,0.0
CH_L_277a,6-6,6,6,0.8546074210202922,64,0.062294899022790305,0.2548797776364212,0.3655274819478182,0.09694589903008095,0.3841641368039858,14298,14298,16681,16681,1.0,1.0,0.0,1.0,0.0
CH_L_278a,10-10,10,10,0.7342377880368312,105,0.004171162324763151,0.06929520446502682,0.4081288490402629,-0.041114462580638264,0.448449442150285,25230,25230,27753,27753,0.0,0.0,1.0,0.0,0.0
CH_L_278a,10-11,10,11,0.3166843131549568,42,-0.006729741832910853,0.0768417878057458,0.42261595561838144,-0.04051583604610368,0.44282324340683926,27753,25230,30276,27753,0.0,0.0,1.0,0.0,0.0
CH_L_278a,5-10,5,10,0.5519322767662515,69,0.04695620345336773,0.1751968583894067,0.35520582233460135,-0.047877320066504074,0.4587409195156784,25230,12615,27753,15138,0.0,1.0,0.0,0.0,0.0
CH_L_278a,5-9,5,9,0.5795203768711524,70,0.018306941533866996,0.13974320375545804,0.40703570374978637,-0.07175070651588043,0.4252052240368108,22707,12615,25230,15138,0.0,0.0,1.0,0.0,0.0
CH_L_278a,6-10,6,10,0.422379126485623,175,0.021577382753161803,0.10695886992514135,0.3912533423264336,-0.05433032384802155,0.44276464278883176,25230,15138,27753,17661,0.0,0.0,0.0,0.0,0.0
CH_L_278a,6-9,6,9,0.7429674874724125,175,0.01993116305449877,0.1355804578416923,0.40543730335182027,-0.04438480232677665,0.4272495951742072,22707,15138,25230,17661,0.0,0.0,1.0,0.0,0.0
CH_L_278a,7-10,7,10,0.42082554674770045,176,-0.0009008841008685437,0.08881097150718502,0.41650206530397876,-0.050043014060111884,0.4519563820402191,25230,17661,27753,20184,0.0,0.0,1.0,0.0,0.0
CH_L_278a,7-11,7,11,0.4262939355695862,191,0.023514761385337566,0.12287544400609644,0.4032510027948363,-0.0306640949210646,0.4304662080243559,27753,17661,30276,20184,0.0,0.0,0.0,0.0,0.0
CH_L_278a,7-12,7,12,0.4705632167767346,181,0.025976187053996597,0.11928750471036692,0.39089562605562184,-0.016166928663021357,0.45782908409584216,30276,17661,32799,20184,0.0,0.0,0.0,0.0,0.0
CH_L_278a,7-14,7,14,0.6009634447190366,66,0.07458714471842787,0.2274736024380625,0.31870952027008853,0.053182793338345066,0.45589985288502677,35322,17661,37845,20184,1.0,1.0,0.0,1.0,0.0
